Ticker,MAE,RMSE,R2
AAPL,6.744516986458104,8.280508763946822,0.9148755738815376
MSFT,9.116623983620554,11.376683812476784,0.9728955398175749
GOOGL,6.68531548913088,7.906950723231665,0.9094546719852687
NVDA,7.605039744907275,12.698048430300952,0.9032143981899199
META,11.237437475215222,15.457878298952144,0.990340831122568
TSLA,12.372271569182836,16.6632537620042,0.9134664735771448
JPM,3.9438082835999047,5.088522868840657,0.9813761722678335
GS,13.059363441301391,17.39688441119357,0.9502071210190324
BAC,1.2197835059452984,1.4570982302829443,0.9346938049125166
C,1.2175949798203636,1.54343265157031,0.9687212955577446
JNJ,3.565317863672993,4.6867614349064946,0.5328456312059004
PFE,0.8327356193612082,1.146909720055513,0.9782965185781661
UNH,16.718273242293336,20.5319931143134,0.7331114245293777
AMZN,6.293678327881677,8.372979139202982,0.9404158886380566
WMT,1.4819708702525192,2.302873646720335,0.966752266815296
COST,24.21469711411792,32.2244242473201,0.9582107626747315
GM,1.0936237294560904,1.416569128384392,0.9523855134926886
F,0.4465328170539101,0.6032631418541559,0.8990620703782322
RIVN,1.1606034386565665,1.510662614531858,0.5140446903292071
XOM,6.777682830287466,7.66490854581207,0.7948052623228199
CVX,9.332754762991884,10.371343029671197,0.52295766280178
ENB,0.8418755713212789,1.0376640984852499,0.8687529600252486
NFLX,18.79748746821652,26.271615555301576,0.9793761265578158
DIS,3.172641928941879,4.074019772867924,0.9591080552596855
KO,1.44916649877361,1.7539615272805609,0.8408148673633575
PG,3.320349065261988,4.074594417824608,0.8997115498187592
AMT,6.181435860803802,7.814686698853044,0.9048367301144079
MNST,1.4402521363316572,1.7274845865631074,0.8991882315924513
CTSH,2.449145617119158,2.905946540705895,0.8809850693009729
QCOM,4.7154828505287245,6.1562673855039245,0.9500445911256019
ORCL,3.4834248003249386,5.039160700936795,0.973774457870272
FTNT,3.0527980225319626,4.124837078439276,0.8472989848801042
INTC,1.2491033879377418,1.626920064040898,0.9616420020333339
YUM,3.7125874348492074,4.334785329834546,0.7890477395274252
DPZ,11.459139777649632,15.022048542167227,0.9430132856343826
MANH,9.958848151568047,13.207401836631647,0.9398984418444001
CSCO,1.0545201605789931,1.3414765683225554,0.9163163338559516
ILMN,7.045682408160936,10.260300036511115,0.9828902744762911
V,4.82920217134197,6.412657353135026,0.9633020261461701
MA,18.29712785783414,21.110181072561602,0.8807022869702542
